k,t,discriminant,bad_primes,conductor,rank_bounds,rank,analytic_rank,count_p17,a_p17,count_p19,a_p19,gens
-20,-6394,66404173291216,2;67;49877;1241939,33202086645608,"(2, 2)",2,,19,-1,17,3,"[(0 : 2 : 1), (5819720737/904401 : 42110118622873/860085351 : 1)]"
-19,-6071,56817094719232,2;31;89;80442833,887767104988,"(2, 2)",2,,19,-1,17,3,"[(0 : 2 : 1), (13900462732257528445/537586649703670180201 : -3561504170330836139914290585602/12464438310867820366104380714699 : 1)]"
-18,-5748,48200249139024,2;3;503;1996365521,48200249139024,"(2, 2)",2,,19,-1,17,3,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=1, generators found=[[0, 2, 1]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-17,-5425,40501876012480,2;5;281;450421219,40501876012480,"(1, 1)",1,,19,-1,17,3,[(0 : 2 : 1)]
-16,-5102,33670214801488,2;51503;40859531,16835107400744,"(1, 3)",rank_ERROR: RuntimeError: rank not provably correct (lower bound: 1),,19,-1,17,3,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=1, generators found=[[0, 2, 1]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-15,-4779,27653504967936,2;3;12002389309,288057343416,"(1, 3)",rank_ERROR: RuntimeError: rank not provably correct (lower bound: 1),,19,-1,17,3,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=1, generators found=[[0, 2, 1]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-14,-4456,22399985973712,2;1069;1567;835759,22399985973712,"(1, 1)",1,,19,-1,17,3,[(0 : 2 : 1)]
-13,-4133,17857897280704,2;13;863;4409;5641,17857897280704,"(1, 1)",1,,19,-1,17,3,[(0 : 2 : 1)]
-12,-3810,13975478350800,2;3;5;97;1949;61603,1397547835080,"(2, 2)",2,,19,-1,17,3,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=1, generators found=[[0, 2, 1]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-11,-3487,10700968645888,2;1549;26985577,668810540368,"(2, 2)",2,,19,-1,17,3,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=1, generators found=[[0, 2, 1]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-10,-3164,7982607627856,2;498912976741,7982607627856,"(1, 1)",1,,19,-1,17,3,[(0 : 2 : 1)]
-9,-2841,5768634758592,2;3;30044972701,5768634758592,"(1, 1)",1,,19,-1,17,3,[(0 : 2 : 1)]
-8,-2518,4007289499984,2;306091;818239,2003644749992,"(2, 2)",2,,19,-1,17,3,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=1, generators found=[[0, 2, 1]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-7,-2195,2646811313920,2;5;4663;443453,165425707120,"(1, 1)",1,,19,-1,17,3,[(0 : 2 : 1)]
-6,-1872,1635439662288,2;3;97;283;137909,181715518032,"(2, 2)",2,,19,-1,17,3,"[(0 : 2 : 1), (14724015377634306113197/6171104871609823044 : -842829800654112312122144176833683/15330078908399373438880943928 : 1)]"
-5,-1549,921414006976,2;149;503;192097,921414006976,"(2, 4)",rank_ERROR: RuntimeError: rank not provably correct (lower bound: 1),,19,-1,17,3,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=2, generators found=[[0, 2, 1], [1081624567466932404182536212768, -308066929464108015927463407499342, 13086219898247204621463949]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-4,-1226,452973809872,2;28310863117,226486904936,"(1, 1)",1,,19,-1,17,3,[(0 : 2 : 1)]
-3,-903,178358532864,2;3;163;1424771,2786852076,"(1, 1)",1,,19,-1,17,3,[(0 : 2 : 1)]
